,Unnamed: 0,faq_id,faq,query,match,score
14,14,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Enumerate SAP structures' best practices,0.0,0.0024045619647949934
15,15,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,"I cannot tick on Include Actuals in MME, why?",0.0,1.5979753631434335e-10
16,16,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,why can't I tick on Include Actuals?,0.0,5.7279563037138104e-11
17,17,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What to do when I can't tick on MME's Include Actuals?,0.0,2.0513971077384952e-10
18,18,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,If changed the owner name of contract in MME then it will that get effect into/anywhere..?,0.0,1.2598352361337106e-09
19,19,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,what is the effect of changing the owner name of a contract?,0.0,1.8102502830075196e-10
20,20,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What will happen when I change the owner name of an MME contract?,0.0,2.3744907949596605e-12
21,21,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you tell me about contract commitment in WMU Dashboard? How can I use it?,0.0,5.98000369222973e-08
22,22,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How can I use the contract commitment in WMU Dashboard?,0.0,2.7631255505866648e-08
23,23,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What is a Contract Commitment graph in the WMU Dashboard and how can I use it?,0.0,2.199968029970023e-08
24,24,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How can I close a contract?,0.0,2.8982839239688474e-08
25,25,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,is there a way to delete a contract?,0.0,2.0867784655820287e-07
26,26,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,how can I delete a contract?,0.0,1.599249443984263e-08
27,27,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What are the steps needed for managing the Submission Confirmation email?,0.0,1.6884435183328605e-08
28,28,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can I control which resources will be receiving the Submission Confirmation email?,0.0,4.79502659800346e-09
29,29,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,"Regarding contracts, how do I end one in MME?",0.0,5.838217465026219e-09
30,30,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you terminate a contract in MME?,0.0,4.756366678293489e-08
31,31,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Are there applications that supports MME for Cost Collectors?,0.0,3.7401390727609396e-05
32,32,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Once a cost collector has been activated can I use applications that are integrated with MME?,0.0,8.351666110684164e-06
33,33,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What is the relevance of ODE Version in the graph?,0.0,1.110789344238583e-05
34,34,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What are the details for using dashboards?,0.0,1.1177166925335769e-06
35,35,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,If I have a View Only access to a contract can I run reports for that contract?,0.0,1.1420676848672429e-08
36,36,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What type of access needed to run reports for a specific contract?,0.0,1.5584936363666202e-07
37,37,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you give me details regarding the availability of the revenue amounts? ,0.0,6.385977080469729e-09
38,38,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How long will it take to receive the revenue amounts in MME?,0.0,1.7830023679721307e-08
39,39,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can I change the Owner field on a contract WMU?,0.0,3.0576136067494986e-10
40,40,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I want to change the owner field on a contract.,0.0,1.5396952601776093e-09
41,41,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How to view resources on the roster page?,0.0,5.520026213901019e-09
42,42,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Roster page wasn't able to diplay all resources. Why?,0.0,3.7186845247560996e-07
43,43,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What is the link for Contract Loss?,0.0,3.566703876689559e-11
44,44,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you provide details for PoC Contract Loss?,0.0,6.846921918324256e-10
45,45,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,What is the use of Include Actuals?,0.0,4.001454723123743e-09
46,46,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,"Checkbox is disabled in Include Actuals, can I have an alternative solution for this matter?",0.0,1.4461725150738403e-09
47,47,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you give me information about deleting contracts,0.0,9.982874971115052e-09
48,48,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can you tell me the process of deleting a contract,0.0,4.936668574373471e-06
49,49,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I need to know how i close a contract in MME with the Strikethrough,0.0,8.88768624918157e-07
50,50,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I couldn't delete a contract,0.0,6.00299476793964e-10
51,51,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,can I delete a contract from mme,0.0,4.756366678293489e-08
52,52,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I need to close / Delete a contract in MME,0.0,4.5948888782731956e-07
53,53,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Is IWEP supported in MME?,0.0,0.0019012687262147665
54,54,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,how do I gain access in MME?,0.0,0.0001534048205940053
55,55,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,request access for new joiner,0.0,9.563812636770308e-05
56,56,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,need to ask how to close contract in MME,0.0,4.5948888782731956e-07
57,57,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,costs not showing as expected in Cost tab,0.0,4.7063889244136625e-12
58,58,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I am getting a error when trying to put in a forecast,0.0,1.2602182630772063e-09
59,59,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,"I got an error saying, The forecast submission attempted to update EACs for a closed month. Please resubmit using a forecast version from  the current open forecasting month.""",0.0,2.0721575566540196e-09
60,60,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I would need to have access to MME,0.0,7.256196113303304e-05
61,61,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I would like support in knowing the procedure to get access to MME of my current project,0.0,0.00074149010470137
62,62,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I would like access to MME,0.0,0.00020452772150747478
63,63,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,how do i get access?,0.0,6.963018108763208e-07
64,64,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,how do I get MME access,0.0,3.334762141093961e-06
65,65,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I'd like to better undersand the functionality of the balance sheet,0.0,1.5245498161675641e-06
66,66,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,i need support on a query around setting up a project in MME,0.0,0.4072268307209015
67,67,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,how to create a project,0.0,2.6412008082843386e-06
68,68,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,I am trying to create a project,0.0,5.712151505576912e-06
69,69,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,i'm trying to setup a new project,0.0,0.009262886829674244
70,70,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Need help with project creation  ,0.0,0.00027865456650033593
71,71,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Do you know how to create it or if you have a job aid on creation?,0.0,2.488621794327628e-05
72,72,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Closing of a contract,0.0,2.8982839239688474e-08
73,73,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,what does MME stand for,0.0,1.0317307896912098e-05
74,74,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Can change contract end date by WBS?,0.0,3.50063965015579e-06
75,75,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",how can I change contract end date by WBS?,0.0,3.50063965015579e-06
76,76,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Is there a way to change the contract end date by WBS?,0.0,8.21344383439282e-06
77,77,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",How to forecast PoC Contract Loss in MME?,0.0,2.458191090681794e-07
78,78,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",how can I forecast PoC Contract Loss?,0.0,6.063943942535843e-07
79,79,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Is there a way to forecast PoC contract Loss?,0.0,3.2841196571098408e-06
80,80,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",When?user can?able to see the Jan14 revenue numbers in MME?,0.0,1.7626987647290093e-09
81,81,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",when can a user be able to see the Jan 14 revenue numbers?,0.0,5.312012635316776e-11
82,82,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Will a user be able to see the revenue numbers for Jan14?,0.0,5.312012635316776e-11
83,83,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Can download the cost transaction everything report in Local currency?,0.0,2.6947981268676813e-07
84,84,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Can I download the cost transaction report in Local currency?,0.0,1.6553130421925744e-07
85,85,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",How do I download the cost transaction report in Local currency?,0.0,1.6553130421925744e-07
86,86,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Best practice on SAP structures for MME success,0.0,6.008544085455564e-14
87,87,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",what are the best practices on sap structures?,0.0,9.262417915989474e-11
88,88,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Enumerate SAP structures' best practices,0.0,7.997431050732473e-10
89,89,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ","I cannot tick on Include Actuals in MME, why?",0.0,4.315272369038309e-14
90,90,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",why can't I tick on Include Actuals?,0.0,2.844302213460964e-13
91,91,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",What to do when I can't tick on MME's Include Actuals?,0.0,1.5488242741286407e-13
92,92,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",If changed the owner name of contract in MME then it will that get effect into/anywhere..?,0.0,3.779449002649926e-07
93,93,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",what is the effect of changing the owner name of a contract?,0.0,1.7482221892350935e-08
94,94,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",What will happen when I change the owner name of an MME contract?,0.0,1.4758071154030716e-10
95,95,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Can you tell me about contract commitment in WMU Dashboard? How can I use it?,0.0,2.8618437681871e-06
96,96,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",How can I use the contract commitment in WMU Dashboard?,0.0,1.1014236189765825e-09
97,97,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",What is a Contract Commitment graph in the WMU Dashboard and how can I use it?,0.0,4.739697033073753e-06
98,98,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",How can I close a contract?,0.0,2.35299670373057e-12
99,99,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",is there a way to delete a contract?,0.0,2.1763059976365184e-07
100,100,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",how can I delete a contract?,0.0,6.061554103098388e-08
101,101,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",What are the steps needed for managing the Submission Confirmation email?,0.0,4.185351067456655e-13
102,102,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Can I control which resources will be receiving the Submission Confirmation email?,0.0,5.583421095259333e-13
103,103,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ","Regarding contracts, how do I end one in MME?",0.0,4.966045253240736e-06
104,104,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Can you terminate a contract in MME?,0.0,7.519811617839878e-08
105,105,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Are there applications that supports MME for Cost Collectors?,0.0,5.288392987412571e-11
106,106,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Once a cost collector has been activated can I use applications that are integrated with MME?,0.0,1.2903765167493475e-08
107,107,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",What is the relevance of ODE Version in the graph?,0.0,5.6603133998578414e-05
108,108,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",What are the details for using dashboards?,0.0,2.5415461402111816e-11
109,109,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",If I have a View Only access to a contract can I run reports for that contract?,0.0,1.8232193099015914e-13
110,110,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",What type of access needed to run reports for a specific contract?,0.0,8.982928333470253e-13
111,111,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Can you give me details regarding the availability of the revenue amounts? ,0.0,2.0108603671076253e-10
112,112,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",How long will it take to receive the revenue amounts in MME?,0.0,2.346048511014942e-08
113,113,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Can I change the Owner field on a contract WMU?,0.0,4.9772470447351225e-06
114,114,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",I want to change the owner field on a contract.,0.0,6.453628742519868e-08
115,115,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",How to view resources on the roster page?,0.0,1.897953779916861e-06
116,116,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Roster page wasn't able to diplay all resources. Why?,0.0,3.0292983410618035e-07
117,117,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",What is the link for Contract Loss?,0.0,2.595566456875531e-06
118,118,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Can you provide details for PoC Contract Loss?,0.0,4.1427244923397666e-07
119,119,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",What is the use of Include Actuals?,0.0,6.77018510697458e-11
120,120,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ","Checkbox is disabled in Include Actuals, can I have an alternative solution for this matter?",0.0,3.657013580848911e-11
121,121,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Can you give me information about deleting contracts,0.0,1.473957067510412e-10
122,122,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Can you tell me the process of deleting a contract,0.0,2.7932713919653906e-08
123,123,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",I need to know how i close a contract in MME with the Strikethrough,0.0,3.818143023970322e-10
124,124,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",I couldn't delete a contract,0.0,6.011898534552529e-09
125,125,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",can I delete a contract from mme,0.0,7.519811617839878e-08
126,126,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",I need to close / Delete a contract in MME,0.0,1.728585746763045e-10
127,127,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Is IWEP supported in MME?,0.0,4.659313559973732e-11
128,128,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",how do I gain access in MME?,0.0,2.1283754272904964e-11
129,129,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",request access for new joiner,0.0,7.287587422410979e-09
130,130,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",need to ask how to close contract in MME,0.0,1.728585746763045e-10
131,131,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",costs not showing as expected in Cost tab,0.0,0.0013320290017873049
132,132,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",I am getting a error when trying to put in a forecast,0.0,8.205198298583127e-09
133,133,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ","I got an error saying, The forecast submission attempted to update EACs for a closed month. Please resubmit using a forecast version from  the current open forecasting month.""",0.0,5.647813328124585e-09
134,134,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",I would need to have access to MME,0.0,4.238980694237782e-12
135,135,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",I would like support in knowing the procedure to get access to MME of my current project,0.0,1.3712050158515288e-12
136,136,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",I would like access to MME,0.0,2.8579161606701042e-12
137,137,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",how do i get access?,0.0,7.969635422520188e-14
138,138,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",how do I get MME access,0.0,8.187093513442427e-15
139,139,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",I'd like to better undersand the functionality of the balance sheet,0.0,9.857715355110486e-08
140,140,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",i need support on a query around setting up a project in MME,0.0,4.555748223111777e-09
141,141,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",how to create a project,0.0,2.7262622097623535e-05
142,142,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",I am trying to create a project,0.0,3.209611895726994e-05
143,143,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",i'm trying to setup a new project,0.0,0.00017851777374744415
144,144,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Need help with project creation  ,0.0,1.2763483425715094e-07
145,145,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Do you know how to create it or if you have a job aid on creation?,0.0,3.0923839045016166e-09
146,146,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",Closing of a contract,0.0,2.35299670373057e-12
147,147,2.0,"Are there plans for MME to display Subcontractor acutals by person, for both hours and cost, as opposed to the ""lump sum"" cost lines currently displayed? ",what does MME stand for,0.0,3.187890484923628e-08
148,148,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,Can change contract end date by WBS?,0.0,1.1174970671046225e-10
149,149,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,how can I change contract end date by WBS?,0.0,1.1174970671046225e-10
150,150,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,Is there a way to change the contract end date by WBS?,0.0,2.2899335205828208e-10
151,151,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,How to forecast PoC Contract Loss in MME?,0.0,8.82634410004357e-09
152,152,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,how can I forecast PoC Contract Loss?,0.0,1.0438898101483574e-07
153,153,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,Is there a way to forecast PoC contract Loss?,0.0,5.658975510414166e-07
154,154,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,When?user can?able to see the Jan14 revenue numbers in MME?,0.0,1.933959659083939e-09
155,155,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,when can a user be able to see the Jan 14 revenue numbers?,0.0,1.2324501141858235e-10
156,156,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,Will a user be able to see the revenue numbers for Jan14?,0.0,1.2324501141858235e-10
157,157,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,Can download the cost transaction everything report in Local currency?,0.0,1.2637345392363386e-08
158,158,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,Can I download the cost transaction report in Local currency?,0.0,7.898232290415308e-09
159,159,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,How do I download the cost transaction report in Local currency?,0.0,7.898232290415308e-09
160,160,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,Best practice on SAP structures for MME success,0.0,5.707336458906503e-14
161,161,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,what are the best practices on sap structures?,0.0,8.96220706154971e-13
162,162,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,Enumerate SAP structures' best practices,0.0,2.9985003195676097e-12
163,163,3.0,I have assigned the Revenue Assignment and all Cost Collectors?at the Contract level. How do I move the Cost Collectors and Revenue Assignments below the Contract level?,"I cannot tick on Include Actuals in MME, why?",0.0,6.778179227747913e-14
